train/reward,time/time_elapsed,train/policy_loss,time/total_timesteps,train/entropy_loss,train/value_loss,train/std,train/learning_rate,train/n_updates,time/fps,train/explained_variance,time/iterations
1.0592716,221,4.776960849761963,21000,-43.039833068847656,1.6936194896697998,1.016583800315857,0.0007,4199,94,0.08035331964492798,4200
2.875335,226,-4.8583478927612305,21500,-43.03598403930664,1.68534255027771,1.0163006782531738,0.0007,4299,94,1.1920928955078125e-07,4300
-0.00034005637,231,35.350547790527344,22000,-43.00655746459961,0.8400286436080933,1.0156735181808472,0.0007,4399,94,0.21520203351974487,4400
-0.835073,236,-76.91178894042969,22500,-43.01448059082031,5.471438884735107,1.0161340236663818,0.0007,4499,94,1.1920928955078125e-07,4500
-0.00013259081,241,14.532655715942383,23000,-43.04727554321289,0.7835800051689148,1.017112374305725,0.0007,4599,95,0.0,4600
-1.1928371,246,16.391860961914062,23500,-43.082393646240234,0.5718662142753601,1.0181660652160645,0.0007,4699,95,0.0,4700
-0.74113995,251,-10.798782348632812,24000,-43.119136810302734,0.20529532432556152,1.0193092823028564,0.0007,4799,95,0.30491477251052856,4800
-1.5348352,256,102.10084533691406,24500,-43.106197357177734,6.42358922958374,1.019325852394104,0.0007,4899,95,0.0,4900
1.077076,261,69.3740463256836,25000,-43.15525436401367,5.559595108032227,1.0208265781402588,0.0007,4999,95,5.960464477539063e-08,5000
-9.148608e-06,267,341.80548095703125,25500,-43.190406799316406,69.19158935546875,1.0219990015029907,0.0007,5099,95,-1.1920928955078125e-07,5100
-4.126643e-05,272,-9.613259315490723,26000,-43.189964294433594,0.11061093956232071,1.0222227573394775,0.0007,5199,95,-1.1920928955078125e-07,5200
0.83780295,278,-104.2666244506836,26500,-43.194175720214844,8.356307029724121,1.0222419500350952,0.0007,5299,95,0.0,5300
2.7318485,283,-17.795320510864258,27000,-43.23686218261719,0.4923577904701233,1.0236150026321411,0.0007,5399,95,0.0,5400
-0.37316602,288,307.37060546875,27500,-43.199398040771484,53.6900749206543,1.0222927331924438,0.0007,5499,95,0.0,5500
2.9399867,294,246.84872436523438,28000,-43.18449020385742,52.2445182800293,1.0219393968582153,0.0007,5599,95,0.0,5600
-0.00016310441,299,18.509939193725586,28500,-43.1640625,0.21971328556537628,1.0212373733520508,0.0007,5699,95,1.1920928955078125e-07,5700
-2.5077028,304,443.55206298828125,29000,-43.180274963378906,119.84969329833984,1.0217503309249878,0.0007,5799,95,0.0,5800
-1.6129241,310,-80.4977035522461,29500,-43.18606185913086,3.566331148147583,1.0219535827636719,0.0007,5899,95,0.0,5900
