,date,reward_0,reward_1
95,2017-06-12,-0.0007907266637749811,-0.0007907266637749811
96,2017-06-13,0.003494648900693974,0.003494648900693974
97,2017-06-14,0.0023116393377602272,0.0023116393377602272
98,2017-06-15,-0.002183104146818248,-0.002183104146818248
99,2017-06-16,-0.0030956570172560906,-0.0030956570172560906
100,2017-06-19,0.007143410434871578,0.007143410434871578
101,2017-06-20,-0.003653310440006906,-0.003653310440006906
102,2017-06-21,-0.00045787870682641304,-0.00045787870682641304
103,2017-06-22,-0.001026134442678392,-0.001026134442678392
104,2017-06-23,-0.00024092021617253275,-0.00024092021617253275
105,2017-06-26,0.0017593343509315165,0.0017593343509315165
106,2017-06-27,-0.005182033890369527,-0.005182033890369527
107,2017-06-28,0.006869075183355107,0.006869075183355107
108,2017-06-29,-0.00818717293552938,-0.00818717293552938
